review_id,kategori,altkategori_full,sentiment,text,date
3cc494c88794a565eb3bf737af03159b,olanaklar,olanaklar_wifi,Negatif,"Vasat - Otelde plaj kısmı oldukça zayıf (müzik yok, içecek, yiyecek bar kısmı saat 16.00 da kapanıyor ki zaten millet 4 ten sonra plaja geliyor. öğlen sıcağında herkes odasında - Ana yemek saatleri dışındaki snack, çay saati gibi ikramlar epey zayıf.. hergün aynı bayat ürünleri getirip götürüyorlar - Yemek saati bitmeden yarım saat önce restoran bölümü toplanmaya başlıyor - Otelin discosu sözde var ama ışıklar kapalı, müzik yok..yani disco yok - Otelin interneti kötü, plajda hiç çekmiyor. - Tüm içecekler kötü (ayran, süt, kahve dahil) - Otelin konumu iyi - Tenis kortu var ücretsiz, raket ve toplar ücretli..ancak akşam 8 de kort kapanıyor. Tam güneş etkisini yitirirken ve rahat rahat oynayabilecekken..",2026-07-16
24fa542569d3a2542f8d5d47ca424761,olanaklar,olanaklar_wifi,Negatif,"Bu devirde 5 yıldızlı otelde internetin ücretli olması şaka gibi. Zaten telefonlar otelin hiçbir yerinde doğru düzgün çekmiyor, mecbur kalıp wifi satın aldık o da sürekli koptu. Akşam odada maillerime bakamadım bile, kesinlikle paramın karşılığı değildi.",2026-07-09
abeb31d96b0ac40f238817ca2735fcc5,olanaklar,olanaklar_wifi,Negatif,"Her şey dahil diye geldik ama en temel ihtiyaç olan internet için ekstra ücret istediler. Ücretsiz dedikleri sadece lobide çekiyor, odalara geçince internet bağlantısı sıfır. Çocuklar akşam internete giremeyince tam bir eziyet oldu.",2026-04-30
66852fa4c62a31e9c3a7051c477e0c2b,olanaklar,olanaklar_wifi,Negatif,"Konum güzel, yemekler idare eder ama internet olayı tam bir fiyasko. Odadaki wifi o kadar yavaş ki bir sayfayı açmak dakikalar sürüyor. Sürekli resepsiyona şikayet ettik 'altyapı çalışması var' deyip geçiştirdiler.",2026-03-13
80ac1248b358a4a2f0e2bb7ae3cd0507,olanaklar,olanaklar_wifi,Negatif,"Otele giriş yaparken her şey çok güzeldi taki odadaki internet şifresini girene kadar. Bağlanıldı diyor ama internet yok! İş telefonuyla görüntülü toplantı yapmam gerekiyordu, sürekli kesildiği için kendi mobil internetimi bitirmek zorunda kaldım.",2025-11-16
b3feb6487f46f93ba06948c250a15e25,olanaklar,olanaklar_wifi,Negatif,Girişte ekstra ücret ödeyip premium wifi paketi aldık. Dediler ki her yerde ful çekecek. Odada ne bilgisayar bağlandı ne de tablet. Para iadesi istedik onu da yapmadılar. Tam bir hayal kırıklığı yaşadık.,2025-05-20
3528018bbe12884a5f7f87ccfd2571e0,olanaklar,olanaklar_wifi,Nötr,"Kaliteli fakat sezona göre Öncelikle otelde 2013-2016-2017 yıllarında toplamda 3 defa konakladım. Hepsi yüksek sezonda gerçekleşti. Öncelikle otelin konumu: Otelin konumu merkezi bir yerdedir ve asla şehir merkezine ulaşma noktasında sıkıntı çekmezsiniz. Yürüyerek maks. 10 dk. sürüyor. Ancak Düden, Manavgat, Belek, Kemer, Olympos gibi yerlere gitmek isterseniz otelden araç kiralayabilirsiniz. Otelin imkanları: Otel büyük ve ferah bir lobiye sahip, akşamları piyano veya keman eşliğinde dinlenebilirsiniz. Ayrıca 2 adet yüzme havuzu(açık-kapalı) ve spor salonu ile beraber spa ve masaj imkanı bulunuyor. Otelin plajı YOK, iskeleden giriyorsunuz. Ana bina ile iskele arası merdivenler dahil 5 dk. sürüyor. Deniz temiz olduğu zamanlar kesinlikle SÜPER. Temiz olursa(?) Tavsiyem Ultra Her şey Dahil Konaklamanız (ben öyle kaldım) Kafanız rahat eder. Bu konaklama türü otelde spor salonu kullanımı dahil çoğu şeyi kapsıyor. Odalar temiz ve ferah. 9-10-11. katlar Suit ve büyük odalar barındırıyor manzara mükemmel ötesi. Diğer odalar standart ama güzel ve ferah. Ancak odalar ile ilgili en büyük sıkıntı temizlik. Odalar GEÇ TEMİZLENİYOR. Denizden veya havuzdan gelince temiz ve kullanıma hazır bir oda bulamayabilirsiniz. Yoğunluk muhtemelen ama böyle bir durum söz konusu. Yemekler: Çeşit bol ve çoğu lezzetli, Pide ustası harika ve güzel pideler çıkıyor. Ancak çoğu yemek aşırı tuzlu;gerçekten fazla tuzlu yemekler. Çalışanlar gayet saygılı ve iletişimde sıkıntı çekmezsiniz. Biraz daha profesyonel olmaları gerekiyor o kadar. Otel misafiri profili: Otel profili çoğunlukla Arap ülkelerinden gelenlerden oluşmakta ve tabii ki gurbetçiler; çok fazla uzatmayım; beklentileri düşürün ve farklı insan manzaralarına hazırlıklı olun. Bu otelin elinde olan bir şey değil, neticesinde 4 tabak yemeği alıp yemeyen ve çöpe atılmasına sebep olan insanlar. (Beğenmeme söz konusu değil,kişisel gözlem en az 4-5 masa böyle her akşam) Onun haricinde misafirlerin birbirlerine karıştığı yok sadece göz zevki; israf konusunda hassassanız sakin olmaya bakın. Otelin ısıtması ve soğutması: Gayet iyi ve etkili. Bir sıkıntı çıkmadı. Otel genelinde Wi-Fi mevcut ve ücretsiz. Antalya'ya tatile gelmeyi düşünenler Çeşme ve Bodrum havası beklemesin;sıcaklık ve nem epey fazla,ancak deniz suyu çok güzel. Elbette Adana sıcağı kesinlikle yok. Bütçeniz izin veriyorsa ve sadece otelde kalacaksanız Kundu civarı otelleri tercih edebilirsiniz.",2026-07-15
1e6a8ed28f214ad15603adddf08af226,olanaklar,olanaklar_wifi,Nötr,"Yemekler enfes Otel ve odalar oldukca guzel, yemekler hersey dahil bir otele gore mukemmel.. internet mevcut ve otelin iskelesi ve havuzu var. Calisanlar oldukca guleryuzlu ve caliskanlar. Biz otelden cok memnun ayrildik.",2026-07-06
811197855dcbc70a8b1bd2fa7093977a,olanaklar,olanaklar_wifi,Pozitif,"Daha iyisini yapabilirsiniz İnternet muhteşem çekiyor. Oda temizliği gayet iyi, koridordaki halılar çok lekeli. Asansörünüz sarı etiketli - güven vermiyor. Yemekleri gerekirse daha az ve lezzetli sunabilirsiniz, maalesef mutfak pek başarılı değil (pide,pizza, omlet ve mezeler hariç). restorandan odaya su çıkartmamak konusunda bu kadar tutucu olmayın, benim masamdaki yarım şişe suyun kime faydası var. Yerine bize 150 TL'den su sattınız, sattığınız su Erikli falan da değil, marketteki en ucuz su. Siz euro ile mi aldınız da Türk misafirinize euro karşılığı su satıyorsunuz? Bu kadar karla su satan bir yer hiç görmedim.",2026-05-04
358f44edfe7b8147ed74c39499ba9e3d,olanaklar,olanaklar_wifi,Pozitif,Otelin genel alanlarında ve odalarda internet hızı muazzamdı. Hatta şezlongda yatarken bile kumsalda kesintisiz film izleyebildik. Bağlantı konusunda hiçbir sorun yaşatmadıkları için teşekkürler.,2026-02-07
457a7a3279ea258c55a384b0f929104e,olanaklar,olanaklar_wifi,Pozitif,"İş seyahati için gelmiştim ve benim için en önemli şey sağlam bir internet altyapısıydı. Odadaki wifi bağlantısı çok hızlı ve stabildi, zoom toplantılarımı sıfır donma ile hallettim. Çok memnun kaldım.",2025-12-26
b3e4554fc54f57294b689e89c8c4d8aa,olanaklar,olanaklar_wifi,Pozitif,"Giriş yaparken resepsiyonda hemen wifi şifremizi verdiler ve otelin her köşesinde ücretsiz, hızlı bir şekilde internete girebildik. Kopma veya yavaşlama gibi hiçbir sinir bozucu durum olmadı.",2025-02-15
82f17f096e3248808e07aa49d8ae58ad,olanaklar,olanaklar_wifi,Pozitif,"Antalya'da onca otele gittim, hep internet sorunu yaşardım ama buranın wifi altyapısı gerçekten harika kurulmuş. Oyun oynayan oğlum bile bağlantı sorunu yaşamadı. İnternet hizmeti tek kelimeyle kusursuzdu.",2026-07-11
9b4d0f37bf2f78c84885ec5916c81fee,olanaklar,olanaklar_wifi,Pozitif,Ailecek 4 farklı cihazdan aynı anda bağlanmamıza rağmen internet hızında en ufak bir düşüş yaşamadık. Hem odada hem restoranda wifi çok güçlüydü. Bu devirde böyle kaliteli ve ücretsiz bir altyapı sunmaları çok güzel.,2026-07-08
ee2e5e9372586e502afcc33fd6b619e0,temizlik,temizlik_havuz,Negatif,"HAVUZLARI KULLANMAMANIZI TAVSİYE EDİYORUM Genel olarak otel gayet güzel, odalar geniş ferah, tüm otelin genel temizliği özenli, personel kibar ilgili ,denizi çok güzel, çocuklar için uygun sığ hemen derinleşmeyen bir denizi var, güzel bir tatil geçirdik,yemekler lezzetli , bol çeşitli. Land of legends’a bırakılıp akşam 17:00’da alınacaksınız diyerek ,bizi alamayacaklırını haber dahi vermeden yarım saat bekletip; biz oteli arayınca da hemen yolluyoruz şöförü denilmesine rağmen; gelemeyen şöförü beklemekten sıkılıp taksiye bindik açıklama olarkta , şöförümüz yoktu yollayamadık ama şöför sizi şimdi orda bekliyor cevabnı almamıza ve saçlarımın havuzdan yeşermesi gibi küçük aksilikleri (!) Göz ardı ederek; tatilimizi bir gün daha uzattık. Zamanımızın büyük kısmını havuzda geçirdik ve tatilin ilk günü saçlarım yeşerdi, saçlarımın sarı kısımları çim yeşili oldu, klor olduğunu düşündüm, otelin kuaförü ile de görüştüm onlar da klordan olabileceğini söylediler ve kusturma işlemi ile saçtan çıkabileceğini ilettiler, ben de tatilime klor olduğunu düşünerek devam ettim, yıllardır sarı saçlarım ve hiç bir otelde saçlarım bu hale gelmedi, yıllarca tatilimizi ali bey resort sorgun’da geçirdik ve genelde havuzdaydık, böyle bir olay yaşamadım. Saçlarımı bu hale getiren havuza katılan kimyasal madde, çocuklarımızın, bizim vücudumuza ne gibi yan etkiler yapmıştır düşünmek dahi istemiyorum, saçımı yeşerten madde klor dışında bir madde , oğlumun mayo içlerindeki beyaz kısımlar da yeşerdi, gözlükle dibe dalmıştık havuzda ve havuza atılan bu tarz maddeler dibe çökermiş, rengi mavi olsun diye katılan bir madde de olabilirmiş, sonuç olarak saçlarım yandı, paramla rezil olacağımı bilseydim asla tercih etmezdim, bir daha yakınından geçmeyi bırakın adını bile duymak istemiyorum.",2026-06-15
