review_id,kategori,altkategori_full,sentiment,text
e37fb27df5e34a008658d726778fb2b5,olanaklar,olanaklar_fitness,Negatif,"Konum mimarı servis harika, indoor spor alanı ve iç dekorasyonu acilen yenilenmeli Çok yaratıcı tasarımı olan, yeşiller ve doğa içinde saklanmış harika bir yapı 🤩 ama içerisi biraz konsept karmaşası, rus lojmanlarını andırıyor yer yer, demode, eskimiş, bu modern dış tasarımına yakışır modern bir iç tasarıma ihtiyacı var! tablolardan halılara koltuklardan sandalyeye tuhaf objeler vs herşey değişmeli, yenilenmeli !!! yiyecek içecek alanından ibrahim bey abartısız bugüne kadar gördüğüm en samimi, en doğal ve içten misafir ağırlayan yönetici ve insan, yaptığı işin nirvanasında, gerçekten çok şanslısınız Calista 🤩 inanılmaz biri, hotelin ortağı gibi sahip çıkıyor hotele. bu arada yemeklerde ciddi israf var, ısrarla havalı dursun diye hiç yenmeyen ve yenemeyecek şeyler sergiliyorsunuz, çeşitleri %30-40 azaltsanız hiç bir kaybınız olmaz, bilakis kazancınız 🙄 All inclusive, full israf anlamına gelmemeli!! diğer yandan spor salonu gerçekten çok kötü, çok küçük, makinalar eski ve pis, yapış yapış, koşu bandı tv kanalları hatalı, insanın hiç giresi yok!!! diğer sauna, iç havuz vs alanları güzel. odadaki tartı çalışmıyor, onun dışında odada eksik yok, havalandırma harika, tv boyutu süper. özellikle pazartesi ve perşembe lobide çalan söyleyen üçlü olağanüstü. çok severek ve düzgün çalıp söylüyorlar (yabancı sarışın vokal, genç gitar ve piyano :-)) toplantı odası flipchartları korkunç malesef, sunulan yiyecekler de içler acısı, aşağıda açık büfe yıkılıyor, toplantıda ise kuru pasta kraker vs… olacak iş değil… Whtsptan gönderdiğiniz değerlendirme linki üzerinden bu yazdıklarımı 4 kere göndermeye çalıştım, olmuyor !!! Normalden çoktan pes etmiştim, IT ile düzeltmenizi öneririm. İphone 11 promax. Özetle Hotel güzel bir yatırımı ve yeniden daha üst seviyede konumlanmayı gerçekten hakediyor, zira bölgede hem konum hem tasarım açısından en güzellerinden 👏👏"
aa31b59445b77bb44aea511b2dd9ea35,olanaklar,olanaklar_fitness,Negatif,"Spor salonu Koca otelde tek koşu bandı için insanların 1 saat sıra beklediği otel, spor takıntınız varsa gelinmemesi gereken bir otel, durumu anlatsanız da dinleyen yok, boşta alan varken ısrarla tek cihazda ısrar…"
ff4b0d1699311b5dc367bb79996ca522,olanaklar,olanaklar_fitness,Negatif,"Bu fiata bundan iyi olmaz Söyle baslamalı sanırım denize sıfır,mayısta dahi kalabalık,yemek kalitesi düşük,hizmeti güleryüzlü personelle yapılan,oda kahvaltı yarım oansiyon yada hersey dahil kpnseptine göre bileklik takdıgınız bir otel.yemegi dısında sorun yok temiz hatta.spor salonu güzel,kapalı havuzu küçük ama deniz için harika tercih."
a3201505764352fd2f12aa1c698100e3,olanaklar,olanaklar_fitness,Negatif,"En kötü ramada Ramada otellerinin çoğunda iş gereği bulundum ancak antalya şubesi kadar kötüsünü görmedim. Yiyecekler tam anlamıyla facia, sunumları ondan facia. Kokmuş et, tavuk yemek isteyenler için bulunmaz fırsat. Şahsen sürekli salata yedim. 3 gün aynı mezeyi, aynı tabakta servis edildiğine şahit oldum. Yoğurdun içinden organizma çıkmasına ramak kalmıştı. Şefler, garsonlar ilgisiz. Müşteri yanında kıraathane muhabbetini yapabiliyorlar. Akşam yemeği sonrası yapacak hiç bir aktivite yok. Kaderine terk edilmiş soluk bir hal alıyor iyice. Alkollerin tümü adını duymadığımız markalar. Minibar fiyatları, market fiyatının yaklaşık 10 katı. Odalarda bulunan kahve markası bile duyulmamış isimler. Düşük maliyetli olmanın göze sokulması bir nevi. Snack bar'da alternatif çok az ve tabi ki lezzetsiz. Spa merkezi için 3 gün arka arkaya fiyat sordum, her defasında ayrı fiyat aldım. Liste fiyatları üzerinden ne geçirebilirsek karımıza mantığı ile çalışıyorlar. Fitness kısmı allahlık. 2 ""hoca"" kendilerini geliştiriyor sadece. Hijyen yok denecek kadar az. Kediler cirit atıyor. Çay doldurulan semaver alındığından beri silinmemiş. Gece yemeğinde çıkan yemeklerin, akşam yemeğinden farklı olduğunu söyleyen garsona sahip işletme aynı zamanda. Akşamdan kalan artıklar, gece önünüze seriliyor."
f187aa58d506c5aff742e50776388833,olanaklar,olanaklar_fitness,Pozitif,"Calista deneyimim. Hersene tatilimin bir bölümünü Calista Otel de geçirmekteyim, otel personeli ,misafir ilişkileri ve otelin hizmet kalitesini heryıl aynı çizgide koruması tercih nedenlerimin başında geliyor.Otel bir çok aktiviteye sahip.Ücretsiz oyun alanları ve açık spor alanları , tenis, masa tenisi fitnes alanları benzeri.Calista ayrıca fiziki olarak doğayla uyumlu bir mimariye sahip olup geniş yeşil alanlara sahip bu sayede otel kalabalık dönemlerde dahi otel içine dağıtılmış tesis imkanlarıyla kalabalık oluşumunu engellemekte, farklı yemek alanları sayesinde alacart veya ana salonda sıra beklemeden keyifle yemek yiyebilirsiniz."
ff4b0d1699311b5dc367bb79996ca522,olanaklar,olanaklar_fitness,Pozitif,"Bu fiata bundan iyi olmaz Söyle baslamalı sanırım denize sıfır,mayısta dahi kalabalık,yemek kalitesi düşük,hizmeti güleryüzlü personelle yapılan,oda kahvaltı yarım oansiyon yada hersey dahil kpnseptine göre bileklik takdıgınız bir otel.yemegi dısında sorun yok temiz hatta.spor salonu güzel,kapalı havuzu küçük ama deniz için harika tercih."
e37fb27df5e34a008658d726778fb2b5,eglence,eglence_spor,Negatif,"Konum mimarı servis harika, indoor spor alanı ve iç dekorasyonu acilen yenilenmeli Çok yaratıcı tasarımı olan, yeşiller ve doğa içinde saklanmış harika bir yapı 🤩 ama içerisi biraz konsept karmaşası, rus lojmanlarını andırıyor yer yer, demode, eskimiş, bu modern dış tasarımına yakışır modern bir iç tasarıma ihtiyacı var! tablolardan halılara koltuklardan sandalyeye tuhaf objeler vs herşey değişmeli, yenilenmeli !!! yiyecek içecek alanından ibrahim bey abartısız bugüne kadar gördüğüm en samimi, en doğal ve içten misafir ağırlayan yönetici ve insan, yaptığı işin nirvanasında, gerçekten çok şanslısınız Calista 🤩 inanılmaz biri, hotelin ortağı gibi sahip çıkıyor hotele. bu arada yemeklerde ciddi israf var, ısrarla havalı dursun diye hiç yenmeyen ve yenemeyecek şeyler sergiliyorsunuz, çeşitleri %30-40 azaltsanız hiç bir kaybınız olmaz, bilakis kazancınız 🙄 All inclusive, full israf anlamına gelmemeli!! diğer yandan spor salonu gerçekten çok kötü, çok küçük, makinalar eski ve pis, yapış yapış, koşu bandı tv kanalları hatalı, insanın hiç giresi yok!!! diğer sauna, iç havuz vs alanları güzel. odadaki tartı çalışmıyor, onun dışında odada eksik yok, havalandırma harika, tv boyutu süper. özellikle pazartesi ve perşembe lobide çalan söyleyen üçlü olağanüstü. çok severek ve düzgün çalıp söylüyorlar (yabancı sarışın vokal, genç gitar ve piyano :-)) toplantı odası flipchartları korkunç malesef, sunulan yiyecekler de içler acısı, aşağıda açık büfe yıkılıyor, toplantıda ise kuru pasta kraker vs… olacak iş değil… Whtsptan gönderdiğiniz değerlendirme linki üzerinden bu yazdıklarımı 4 kere göndermeye çalıştım, olmuyor !!! Normalden çoktan pes etmiştim, IT ile düzeltmenizi öneririm. İphone 11 promax. Özetle Hotel güzel bir yatırımı ve yeniden daha üst seviyede konumlanmayı gerçekten hakediyor, zira bölgede hem konum hem tasarım açısından en güzellerinden 👏👏"
274eef3cb2922e1b53f7de8ef09fab06,eglence,eglence_spor,Negatif,"Fiyat performans denilebilir ama kışın mı bilemedim Otelin odamız dış binadaydı kapılar kapanmaz bina içi buz ceryan ,klima desen çok sesli ve yatak başına koyulan ekranda ne dercesine nede açma kapamasına müdahale edemiyorsun ancak odanın mevcut ısısı gözüküyor hep açıksa hamam olduğu için gece 3-4 kez aç kapa için kalktık bari kumandası olsaymış konforsuzdu çok sabit duş başlığı kırıktı açınca duşakabşn dışı ıslandı her sefer bardak temizliği kesinlikle sorunluydu mesajla zaten otel anketinde bunları bildirdik ama kış tatili için soru işareti devamlı kaban elinizde gezmek istemeSiniz sonuçta gir çık.yemekler koydukları lokumlar taş gibiydi tatlılarda kremasından keki ayrılıp sertleşmiş olanlar vardı sosis standının hemen altında kediler pusıu kurmuş bekliyodu uyardım çıkardılar etlerde bi koku vardı ama harmony restorandaki makarnalar hizmet daha kaliteliydi alacarteların tümünün paralı oluşu bowlingin paralı oluşu daha üst segmentlerde çok sık tatil yapmış bi aile olarak bize tuhaf geldi sanırım spor kampları için kışın daha ideal"
b716b59ae851e57f5483df81030fa04a,eglence,eglence_spor,Negatif,"Personel yorgun Baska bir hotelden geldim bazi problemler yasadigimiz icin ve buraya daha fazla para odedim hic bir fark yok personel ayni yorgun isteksiz ve yavas calisiyor genel olarak personel eksikligi vardi ve personelin herseyi bilmis bir hevesi var ve cok ukalalar . Kucuk bir sorun a cozum degil daha buyuk bir soruna ceviriyorlar kafam da soru isareti kaldi . Mini bar dolu degildi eksik konuluyor , wifi hotelin heryerinde tam cekmiyor ve spor salonu malzemeleri eski , kiyafetleri kuru temizlemeye verdik ve bi kac gonlegimin rengi degismisti . Aksam sovlari guzel ama hotelde calan muzikler hep ayni, bu fiyata bu kalite yakismadi, Tavsiye etmiyorum."
e3d0eb16ac37dd075bdfc9e29f57502d,eglence,eglence_spor,Negatif,Spor salonunda klima sorunu Yaklaşık 4-5 aydır üyenizim. 2 ay önce de aynı şey oldu; klimalar bozuldu ve çok uzun bir süre yapılmadı. Spor salonunu kullananlar için içeride klimanın çalışmaması bence en büyük sorun. Buna neden acil bir çözüm bulmuyorsunuz? Sürekli iki ayda bir aynı şey tekrarlanıyor.
